Category: All categories

Week,solid space: (United States),design form: (United States),voxel: (United States),cpq: (United States)
2020-11-22,8,20,15,11
2020-11-29,12,30,13,13
2020-12-06,12,32,15,15
2020-12-13,12,31,14,13
2020-12-20,5,10,16,10
2020-12-27,4,9,14,8
2021-01-03,8,19,13,13
2021-01-10,10,19,15,16
2021-01-17,10,19,14,15
2021-01-24,11,29,15,17
2021-01-31,11,27,15,15
2021-02-07,12,28,15,16
2021-02-14,12,26,16,13
2021-02-21,11,31,12,14
2021-02-28,10,29,14,16
2021-03-07,12,31,14,15
2021-03-14,9,28,15,14
2021-03-21,12,24,13,17
2021-03-28,10,22,15,16
2021-04-04,11,25,17,15
2021-04-11,13,28,16,16
2021-04-18,16,27,16,15
2021-04-25,13,27,14,15
2021-05-02,13,33,15,18
2021-05-09,10,27,14,18
2021-05-16,10,25,13,18
2021-05-23,10,21,15,18
2021-05-30,8,17,15,15
2021-06-06,8,20,13,16
2021-06-13,5,17,13,16
2021-06-20,5,17,13,19
2021-06-27,6,16,13,18
2021-07-04,5,14,15,15
2021-07-11,5,17,11,15
2021-07-18,7,16,11,16
2021-07-25,6,18,12,15
2021-08-01,5,12,12,19
2021-08-08,5,14,10,18
2021-08-15,7,18,13,17
2021-08-22,8,21,12,15
2021-08-29,10,21,12,16
2021-09-05,12,24,11,13
2021-09-12,13,27,12,18
2021-09-19,13,27,15,16
2021-09-26,13,28,11,16
2021-10-03,13,27,10,15
2021-10-10,12,26,13,18
2021-10-17,14,35,13,19
2021-10-24,11,30,12,18
2021-10-31,10,25,14,18
2021-11-07,10,31,15,21
2021-11-14,13,31,14,18
2021-11-21,6,17,11,13
2021-11-28,11,32,15,17
2021-12-05,11,32,15,20
2021-12-12,10,30,18,20
2021-12-19,4,12,14,13
2021-12-26,4,9,16,10
2022-01-02,10,25,21,22
2022-01-09,9,25,21,20
2022-01-16,10,28,20,20
2022-01-23,13,35,22,20
2022-01-30,14,34,17,23
2022-02-06,13,38,20,24
2022-02-13,16,41,20,22
2022-02-20,14,41,23,17
2022-02-27,16,37,19,20
2022-03-06,13,34,20,20
2022-03-13,14,32,19,20
2022-03-20,16,42,18,22
2022-03-27,19,45,21,24
2022-04-03,15,44,21,24
2022-04-10,16,39,21,26
2022-04-17,19,42,20,24
2022-04-24,18,45,21,25
2022-05-01,18,44,19,28
2022-05-08,17,40,21,28
2022-05-15,16,34,20,25
2022-05-22,13,30,15,27
2022-05-29,9,28,16,23
2022-06-05,10,25,16,29
2022-06-12,8,26,16,25
2022-06-19,10,25,15,26
2022-06-26,7,24,17,26
2022-07-03,7,22,17,22
2022-07-10,11,26,20,26
2022-07-17,6,25,18,25
2022-07-24,7,27,15,28
2022-07-31,7,22,17,26
2022-08-07,8,20,18,26
2022-08-14,10,25,16,27
2022-08-21,13,34,19,25
2022-08-28,16,35,21,27
2022-09-04,17,39,15,23
2022-09-11,22,43,16,25
2022-09-18,23,49,18,28
2022-09-25,20,41,18,25
2022-10-02,22,45,17,25
2022-10-09,20,44,18,23
2022-10-16,17,45,14,26
2022-10-23,17,43,16,23
2022-10-30,17,43,14,25
2022-11-06,17,42,15,23
2022-11-13,19,43,18,24
